Date,Close,daily_return,log_return,volatility_30d,volatility_7d,ma_7d,std_7d,pct_vs_ma7,ma_30d,std_30d,pct_vs_ma30,ma_90d,std_90d,pct_vs_ma90,ma_200d,std_200d,pct_vs_ma200,lag_1d,lag_7d,lag_14d,lag_30d,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,BB_width,BB_pos,year,month,quarter,day_of_week,week_of_year,unit
2017-12-11,33212.362226443365,0.16494822424321165,0.15267664332036784,0.8826630685951388,0.08175790871911152,29591.09720085974,1905.318325471175,12.237684196037229,26955.196250849614,3867.01752093227,23.213208753382858,,,,,,,28509.732480187435,30332.39174447488,31004.51330455625,20444.195921989623,55.78188062477757,1711.6565755890406,1777.109573932798,-65.45299834375737,33095.85280567293,29388.855546818813,25681.858287964704,0.2522723113833791,1.0157147972649752,2017,12,4,0,50,INR/ETH
2017-12-12,41919.58580409084,0.26216815047003394,0.23283099650312497,1.1231700063502752,0.12150683211896449,31320.640547444513,5046.197795312239,33.84012929298507,27685.710211782476,4522.99693908418,51.41235490592804,,,,,,,33212.362226443365,29812.782377997413,30470.92018892057,20004.16697610496,70.99404673459155,2566.2276212059915,1934.9331833874367,631.2944378185548,36492.050031513056,30252.25890905097,24012.46778658888,0.4125173687836743,1.4349132579965884,2017,12,4,1,50,INR/ETH
2017-12-13,45363.6138542695,0.08215796945786047,0.078957167418188,1.1343905621947377,0.10703325095764893,33860.785784819964,6962.404272490538,33.97094250129994,28509.920334249262,5368.22131470986,59.11518980911959,,,,,,,41919.58580409084,27582.597192641348,27562.40899294801,20637.31018026592,82.01428197897688,3481.2558618465555,2244.1977190792604,1237.058142767295,40160.39344688866,31192.117127839058,22223.840808789457,0.5750347937136583,1.2900903262942143,2017,12,4,2,50,INR/ETH
2017-12-14,44754.883557185065,-0.013418911002989642,-0.01350975821841405,1.1336850555795572,0.11040926062908049,36250.63810033278,7477.815606820313,23.459574513735856,29265.2820093586,5992.3350130471335,52.928249735892244,,,,,,,45363.6138542695,28025.917348595336,28800.76090857945,22094.033303904813,79.35727146572123,4109.926216292155,2617.3434185218393,1492.5827977703157,42713.50816622111,31896.387920502086,21079.267674783063,0.6782661580790524,1.0943585420422204,2017,12,4,3,50,INR/ETH
2017-12-15,43992.89611884765,-0.017025794232349845,-0.017172399497005282,1.1349397865367863,0.11561522732567164,38330.57554342844,7288.007310991038,14.772333822652422,30004.844746209503,6395.54703766419,46.619309284728935,,,,,,,44754.883557185065,29433.334017178044,30091.549357142067,21806.014013320677,76.08763831809148,4494.852126075413,2992.8451600325543,1502.006966042859,44636.882918657226,32590.44152834641,20544.000138035597,0.7392622391956917,0.9732706623082682,2017,12,4,4,50,INR/ETH
2017-12-16,44748.83353303373,0.01718317003144998,0.01703720904107257,1.1309175268575735,0.11667734008604566,40357.41536772251,6717.648078333459,10.881316668320224,30774.910387305816,6736.229813426436,45.406868679273046,,,,,,,43992.89611884765,30560.95476297522,29892.181499699363,21646.86430014437,77.30990045708313,4805.5115684779885,3355.378441721641,1450.1331267563473,46462.994148291335,33305.97283925627,20148.951530221202,0.7900697795278011,0.9348575724323936,2017,12,4,5,50,INR/ETH
2017-12-17,46276.39265438076,0.034136289166496026,0.033566575104906744,1.1284966406129564,0.1036575514516671,42895.509678321556,4478.3556773281025,7.881671068633622,31594.94303419767,7078.984119845912,46.46771986356239,,,,,,,44748.83353303373,28509.732480187435,30047.237515359884,21675.41324762511,78.39983296684427,5115.998621995117,3707.5024777763365,1408.4961442187805,48385.79098880822,34069.5668067475,19753.342624686775,0.8404112833759534,0.9263283982004271,2017,12,4,6,50,INR/ETH
2017-12-18,50914.737082291394,0.10023133096290615,0.0955204585695648,1.1468927508043918,0.09704994357112304,45424.42037201413,2772.21199108215,12.08670724978548,32536.50833127702,7701.796212771015,56.484944739284046,,,,,,,46276.39265438076,33212.362226443365,30332.39174447488,22667.77816991089,81.25563583496124,5670.9661126239735,4100.1952047458635,1570.77090787811,51140.662038490555,35091.75765141604,19042.853264341527,0.9146822764762198,0.9929613588955608,2017,12,4,0,51,INR/ETH
2017-12-19,53082.122265569866,0.04256891633900439,0.041687779305865466,1.1470612517070147,0.04454482691972561,47019.068437939706,3527.6803451166415,12.894882925281179,33535.59541199578,8353.238033738993,58.285909683244306,,,,,,,50914.737082291394,41919.58580409084,29812.782377997413,23109.50984400697,83.65189974374309,6214.040131439455,4522.964190084582,1691.075941354873,53886.72049364145,36367.74331504713,18848.766136452818,0.9634349333600718,0.9770363811805275,2017,12,4,1,51,INR/ETH
2017-12-20,52460.49222980393,-0.011710723106659549,-0.011779833711132209,1.1535551335073526,0.042085321135361856,48032.9082058732,3965.2792499961633,9.2178137641671,34490.85812247594,8827.007753975346,52.09970144412873,,,,,,,53082.122265569866,45363.6138542695,27582.597192641348,23802.61091539916,87.73376082817576,6519.121480861271,4922.19564823992,1596.9258326213512,56084.183941315,37550.72988110835,19017.27582090171,0.9871155164699351,0.9022391697807579,2017,12,4,2,51,INR/ETH
